09/13/16 17:33:02.090 BROM_DLL[1972][1068]: Brom_DebugOn(): runtime trace is ON now. (brom_debug.cpp:150)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: ================================================================================================================================== (brom.cpp:1002)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: Brom_GetDLLInfo(): BROM_DLL_v3.949.10.05 [Patch-Build](Release Version)                                                                       (brom.cpp:1003)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: Brom_GetDLLInfo(): Build-Date: 2013/09/05 16:50:48                                                                                  (brom.cpp:1004)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: Brom_GetDLLInfo(): LoadPath=C:\A859_ROW_S126_140804\SP_Flash_Tool_v3.1336.0.198\brom.dll                                         (brom.cpp:1005)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: ================================================================================================================================== (brom.cpp:1006)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: FlashDeviceNameMap::DumpDebug():   (flash_device_tbl.cpp:755)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: FlashDeviceNameMap::DumpDebug():   (flash_device_tbl.cpp:755)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: ResourcePrefixMap::DumpDebug():   (mtk_resource_internal.cpp:186)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: 	m_JumpTablePrefix("JUMP_TABLE")              (mtk_resource_internal.cpp:188)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: ================= STATUS_E CODE BEGIN =================== (brom.cpp:696)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (   0) S_DONE                                             (brom.cpp:697)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1000) S_STOP                                             (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1001) S_UNDEFINED_ERROR                                  (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1002) S_INVALID_ARGUMENTS                                (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1003) S_INVALID_BBCHIP_TYPE                              (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1004) S_INVALID_EXT_CLOCK                                (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1005) S_GET_DLL_VER_FAIL                                 (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1006) S_INVALID_BUF                                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1007) S_BUF_IS_NULL                                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1008) S_BUF_LEN_IS_ZERO                                  (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1009) S_BUF_SIZE_TOO_SMALL                               (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1010) S_NOT_ENOUGH_MEMORY                                (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1011) S_COM_PORT_OPEN_FAIL                               (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1012) S_COM_PORT_SET_TIMEOUT_FAIL                        (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1013) S_COM_PORT_SET_STATE_FAIL                          (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1014) S_COM_PORT_PURGE_FAIL                              (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1015) S_FILEPATH_NOT_SPECIFIED_YET                       (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1016) S_UNKNOWN_TARGET_BBCHIP                            (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1017) S_SKIP_BBCHIP_HW_VER_CHECK                         (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1018) S_UNSUPPORTED_VER_OF_BOOT_ROM                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1019) S_UNSUPPORTED_VER_OF_BOOTLOADER                    (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1020) S_UNSUPPORTED_VER_OF_DA                            (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1021) S_UNSUPPORTED_VER_OF_SEC_INFO                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1022) S_UNSUPPORTED_VER_OF_ROM_INFO                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1023) S_SEC_INFO_NOT_FOUND                               (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1024) S_ROM_INFO_NOT_FOUND                               (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1025) S_CUST_PARA_NOT_SUPPORTED                          (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1026) S_CUST_PARA_WRITE_LEN_INCONSISTENT                 (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1027) S_SEC_RO_NOT_SUPPORTED                             (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1028) S_SEC_RO_WRITE_LEN_INCONSISTENT                    (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1029) S_ADDR_N_LEN_NOT_32BITS_ALIGNMENT                  (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1030) S_UART_CHKSUM_ERROR                                (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1031) S_NOR_FLASH_BOOT                                   (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1032) S_NAND_FLASH_BOOT                                  (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (1033) S_UNSUPPORTED_VER_OF_EMI_INFO                      (brom.cpp:699)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2000) S_BROM_SET_META_REG_FAIL                           (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2001) S_BROM_SET_FLASHTOOL_REG_FAIL                      (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2002) S_BROM_SET_REMAP_REG_FAIL                          (brom.cpp:702)
